Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.8725256078746884,-5.969877271261318,0.2647912493678177,-5.066713232983375,2.2288292127102418 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.698018737024579,-8.437784118835668,-0.35242040631158036,-7.154444336654819,2.1438284127924378 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,1.50258295245996,-10.914088022469164,-0.9715108146508555,-9.248790584202652,2.025876134942382 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2915942203898532,-13.396897009920162,-1.6044394587413536,-11.351382242974183,1.8842480771339337 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,1.2356159229385285,-13.198489549367692,-1.6658792213004859,-11.203558863554008,1.7560374035390978 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,1.164951164037554,-13.021186923549277,-1.6881926444826832,-11.055763490743459,1.6592474724207698 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,1.1111952543800295,-12.842687346459496,-1.7055640828741048,-10.907588121122786,1.5895824182244594 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.068821791448104,-12.66424741625218,-1.7103409325944768,-10.756751164485934,1.5364941617786763 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0281596164357978,-12.539767054393371,-1.7075969544689543,-10.62742098334985,1.4909750988360083 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9909832911232995,-12.416720850383318,-1.7056150692643542,-10.489967732712956,1.4482761857506624 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9548580776126401,-12.295282966922262,-1.7021306180643024,-10.351766338968162,1.4068166291530034 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9192909615533127,-12.175514316119305,-1.6979965605103189,-10.213801842480052,1.3662742293178703 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8801573782533364,-12.144787141726063,-1.7406968411805793,-10.228617545675434,1.3257989053583419 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8414286392160748,-12.115250193064668,-1.7781568978139149,-10.250494934392635,1.2850501317489443 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8025659815257139,-12.087354121763588,-1.8149062136474186,-10.27236485198307,1.2440950373483844 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7636440347710871,-12.060964895500922,-1.851468073653166,-10.293588345410399,1.2030898419818537 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,0.730422541594979,-11.938722726377949,-1.8534648366559168,-10.204963105498223,1.1631252883493966 
